Date,AdjClose,AdjCloseAXP
11/23/2007,87.32486605,92.8665109
11/26/2007,87.65070013,89.37754249
11/27/2007,88.66080255,92.84978879
11/28/2007,87.58553704,95.83796882
11/29/2007,92.76637533,94.96991115
11/30/2007,93.38547126,98.45886393
12/3/2007,95.86184568,97.82449397
12/4/2007,94.03714874,95.33714919
12/5/2007,95.2101682,96.70604211
12/6/2007,91.98436235,99.37703325
12/7/2007,95.27534061,95.08677062
12/10/2007,95.69892864,96.12178379
12/11/2007,91.65852827,91.08031515
12/12/2007,90.7461798,90.27900532
12/13/2007,90.71358894,89.87833868
12/14/2007,86.67318857,87.29084091
12/17/2007,84.19681415,87.10721798
12/18/2007,85.3046612,86.43948191
12/19/2007,85.36983361,86.65651
12/20/2007,85.69566769,85.18746409
12/21/2007,86.21700967,86.72325002
12/24/2007,88.98664595,88.87674629
12/26/2007,87.06419506,88.30918664
12/27/2007,85.7608401,85.30429232
12/28/2007,85.14174416,84.8702752
12/31/2007,84.45748514,86.84012512
1/2/2008,82.46986184,85.49999797
1/3/2008,79.27663753,84.44463866
1/4/2008,75.36657266,82.31720576
1/7/2008,75.17106942,82.68572471
1/8/2008,72.5317733,80.32377619
1/9/2008,71.35875384,82.2167013
1/10/2008,74.42163799,81.94865556
1/11/2008,72.49918709,73.70688376
1/14/2008,72.10818061,74.54445737
1/15/2008,69.40371674,71.64646424
1/16/2008,74.32388869,74.10893284
1/17/2008,75.23623716,71.47893858
1/18/2008,76.57217833,73.05358915
1/22/2008,79.56989939,72.60131128
1/23/2008,82.66536974,77.40899848
1/24/2008,84.19681415,78.91662004
1/25/2008,84.06647865,76.11911575
1/28/2008,86.37993603,79.40243585
1/29/2008,87.32486605,80.0724838
1/30/2008,83.47996426,79.30191577
1/31/2008,91.26752179,82.3004446
2/1/2008,90.5506719,83.08779722
2/4/2008,86.64060703,79.83796038
2/5/2008,83.08895777,76.5546559
2/6/2008,80.90583589,76.83945498
2/7/2008,84.68556527,77.81102412
2/8/2008,82.60019734,75.34853209
2/11/2008,85.85859405,74.76224306
2/12/2008,86.11926504,75.51606556
2/13/2008,86.93385956,78.48109551
2/14/2008,82.50244338,76.53787912
2/15/2008,82.01369227,75.5663256
2/19/2008,80.12382292,74.62820848
2/20/2008,84.00130624,75.88457671
2/21/2008,81.32942392,74.84599418
2/22/2008,83.15413018,75.48255887
2/25/2008,83.74063525,75.73385126
2/26/2008,86.05409263,76.73892709
2/27/2008,94.88433412,77.17447505
2/28/2008,92.24503334,74.41043059
2/29/2008,87.42262,70.85911162
3/3/2008,90.84392443,70.49059266
3/4/2008,90.77876135,71.44542408
3/5/2008,92.60345829,70.741846
3/6/2008,88.13946057,69.16722667
3/7/2008,86.86868715,69.56926013
3/10/2008,84.88107317,67.07326141
3/11/2008,86.73835166,73.42212373
3/12/2008,87.68329099,71.59618858
3/13/2008,89.67090497,71.52920643
3/14/2008,87.0967766,68.6981564
3/17/2008,84.13164174,69.87078913
3/18/2008,88.40013156,73.22109138
3/19/2008,87.2271121,70.35654246
3/20/2008,93.84165016,77.02372618
3/24/2008,97.81688744,79.41918139
3/25/2008,95.79668259,79.5866758
3/26/2008,93.32030817,75.98512022
3/27/2008,89.63832343,75.09727095
3/28/2008,87.97654353,72.28301331
3/31/2008,89.89899442,73.23785253
4/1/2008,94.91691567,78.88311335
4/2/2008,97.97980448,78.1460442
4/3/2008,97.1977915,78.19628861
4/4/2008,95.47083919,77.24144939
4/7/2008,94.59107227,77.97854197
4/8/2008,92.44054125,77.84453082
4/9/2008,90.12708387,75.80971385
4/10/2008,93.25513576,75.77606657
4/11/2008,92.70121224,72.96767455
4/14/2008,93.12480027,71.84095146
4/15/2008,94.0045672,72.56410244
4/16/2008,94.46073677,73.57308349
4/17/2008,93.71131466,75.17066544
4/18/2008,99.51124888,76.56646525
4/21/2008,99.96741846,76.85233436
4/22/2008,96.61127711,73.94307861
4/23/2008,98.50114646,74.63254326
4/24/2008,100.4235974,75.97787215
4/25/2008,102.6067192,80.33340644
4/28/2008,100.4235974,80.53517297
4/29/2008,101.2707734,80.7370176
4/30/2008,102.9651442,80.75381781
5/1/2008,102.9651442,86.32016216
5/2/2008,100.7820223,84.75618843
5/5/2008,100.6842683,84.78984352
5/6/2008,101.2381919,85.69791396
5/7/2008,98.72923591,81.89736455
5/8/2008,108.8954139,82.14959419
5/9/2008,112.5448078,82.33457613
5/12/2008,115.6728597,83.99942921
5/13/2008,116.2919556,82.41865528
5/14/2008,115.6402781,83.24267781
5/15/2008,115.835786,83.84809455
5/16/2008,113.9784982,81.86373289
5/19/2008,111.3717883,81.66191168
5/20/2008,110.1010149,79.55983921
5/21/2008,106.9077906,76.48237048
5/22/2008,107.5920589,77.9622182
5/23/2008,107.754976,76.43190737
5/27/2008,110.0684334,77.18869001
5/28/2008,118.2795789,77.60911701
