Date,Nasdaq,Amazon,Cisco
11/18/1997,124.9660344,225.5319022,130.9144889
11/19/1997,125.0269409,230.3191361,132.2564185
11/20/1997,127.0055533,234.0425566,135.9840988
11/21/1997,126.5518905,229.2553226,135.3876347
11/24/1997,123.9158312,215.9574343,132.405561
11/25/1997,124.0759038,214.6276552,134.0953986
11/26/1997,124.5022301,217.553179,135.2882299
11/28/1997,124.9746318,210.6382936,137.17693
12/1/1997,127.3303688,218.0851101,143.8369461
12/2/1997,125.4290666,216.2233999,137.5745404
12/3/1997,126.1130684,222.872344,138.2206892
12/4/1997,125.9795507,229.7872294,137.3757308
12/5/1997,127.5786747,234.5744633,142.1470997
12/8/1997,128.9560476,240.4255352,142.743555
12/9/1997,126.5362779,239.3616973,139.0655772
12/10/1997,124.6669826,230.3191361,135.7852891
12/11/1997,121.6943936,239.3616973,131.5109795
12/12/1997,119.9796997,231.9148808,121.7693703
12/15/1997,119.9781461,234.0425566,123.2604424
12/16/1997,121.2618146,227.659578,127.435356
12/17/1997,120.8222108,224.2021231,129.2743449
12/18/1997,118.9341766,219.1489236,127.7832552
12/19/1997,119.055208,229.7872294,127.4851025
12/22/1997,119.6267757,239.893604,130.3180954
12/23/1997,117.8972509,236.170208,122.5645911
12/24/1997,117.0867562,235.1063701,123.0119303
12/26/1997,118.0120296,230.8510673,126.8886737
12/29/1997,120.047631,242.5531866,133.5983834
12/30/1997,122.2011469,247.6063861,134.4930267
12/31/1997,122.6165406,256.3829816,133.0020163
1/2/1998,123.4895049,253.1914923,138.5188508
1/5/1998,124.4725584,242.5531866,138.2206892
1/6/1998,123.3809694,247.074455,136.4314116
1/7/1998,121.9411268,244.1489312,132.405561
1/8/1998,121.4601467,235.6383012,133.8966243
1/9/1998,117.3748753,217.553179,129.4234433
1/12/1998,117.715313,219.6808547,132.8528474
1/13/1998,120.3740192,237.2340459,133.5983834
1/14/1998,120.9307464,248.9361652,135.9840988
1/15/1998,120.7980103,252.9255268,137.027858
1/16/1998,122.0332681,244.680838,138.0715468
1/20/1998,124.1617924,252.9255268,141.9482813
1/21/1998,123.988452,259.0425398,141.6500404
1/22/1998,123.0975302,262.2340291,137.7733412
1/23/1998,123.0522459,252.1276545,137.624234
1/26/1998,121.9223878,245.7446759,135.0894643
1/27/1998,123.2841481,242.5531866,141.3518701
1/28/1998,125.7765291,243.6170244,147.6143111
1/29/1998,126.453506,253.1914923,152.0874304
1/30/1998,126.443355,251.0638166,150.4473128
2/2/1998,129.0614568,265.4255184,152.5347785
2/3/1998,130.11166,263.0319014,150.2982144
2/4/1998,131.2126185,258.5106331,154.0258153
2/5/1998,130.9362137,252.1276545,153.5784672
2/6/1998,132.298746,250.5319098,157.3061739
2/9/1998,131.9926695,247.8723273,152.6839121
2/10/1998,133.44578,270.7446835,154.4731633
2/11/1998,133.4075204,270.2127524,154.7713425
2/12/1998,133.8596105,268.6170077,155.6659857
2/13/1998,133.5535339,264.8936116,154.7713425
2/17/1998,133.0077394,262.7659602,154.9204585
2/18/1998,133.968146,259.0425398,156.2625028
2/19/1998,134.8489167,267.0212631,156.113228
2/20/1998,134.9363685,269.1489388,157.0079242
2/23/1998,136.7814536,276.0638242,156.5606643
2/24/1998,135.7624758,276.0638242,154.4731633
2/25/1998,137.9308228,280.3191514,159.2445235
2/26/1998,138.7608381,309.5744618,158.6480594
2/27/1998,138.2454968,327.6595597,157.1569873
3/2/1998,137.3108539,324.4680704,155.6659857
3/3/1998,137.2015368,305.3191346,153.8766992
3/4/1998,137.4014225,312.4999855,155.6659857
3/5/1998,133.6706574,319.1489297,147.6143111
3/6/1998,136.9165345,326.5957462,153.5784672
3/9/1998,134.7044663,355.3191498,146.0486722
3/10/1998,136.5276861,353.6569077,146.4214623
3/11/1998,137.1788899,338.8297722,149.4035359
3/12/1998,137.7418697,334.0425383,152.5347785
3/13/1998,138.3352933,334.8404106,154.0258153
3/16/1998,139.6252145,336.1702141,153.5784672
3/17/1998,138.9318433,339.8936101,154.0258153
3/18/1998,139.6330208,363.0319075,151.6401881
3/19/1998,140.5465799,357.4468013,153.429457
3/20/1998,139.7017336,357.4468013,151.7892336
3/23/1998,139.9633074,356.6489289,154.4731633
3/24/1998,141.5194824,358.5106391,161.779249
3/25/1998,142.4619411,347.6063678,165.9542685
3/26/1998,142.776615,352.1276605,165.5069557
3/27/1998,142.3924467,361.7021284,165.5069557
3/30/1998,142.0082783,365.4255245,160.8846587
3/31/1998,143.3341238,363.9627505,163.1212227
4/1/1998,144.2695483,383.5106224,165.3578573
4/2/1998,144.6833787,404.5212684,167.594439
4/3/1998,144.8739045,395.7446728,168.6382159
4/6/1998,142.8234625,377.1276438,164.6122419
4/7/1998,140.4474139,365.9574313,164.6122419
4/8/1998,141.0955008,377.1276438,162.8230259
4/9/1998,142.1285281,405.3191407,159.8409523
4/13/1998,142.4962927,401.3297791,158.6480594
4/14/1998,143.9080268,413.5638052,161.4811052
4/15/1998,145.4876303,409.0425611,168.6382159
4/16/1998,145.0956556,419.1489114,167.4453229
4/17/1998,145.7484225,403.7233961,168.0417694
4/20/1998,147.352236,401.0638135,172.3657638
4/21/1998,148.6585514,396.0106384,176.2425513
4/22/1998,149.7314015,371.2765963,175.6461224
4/23/1998,146.9032628,344.6808441,171.0237725
4/24/1998,145.9326956,361.1701973,171.6202366
4/27/1998,142.1339992,352.1276605,168.0417694
4/28/1998,143.0288193,406.9148854,169.0854758
4/29/1998,144.5803143,406.3829786,171.7693526
4/30/1998,145.889756,390.4255321,174.7514615
5/1/1998,146.2825028,402.1276514,175.6461224
5/4/1998,146.7057123,405.3191407,178.7772768
5/5/1998,145.616468,398.8031915,175.6461224
5/6/1998,144.9738522,384.5744603,181.3120729
5/7/1998,143.2919563,387.2340428,179.8210713
5/8/1998,145.5743005,393.0850903,180.715697
5/11/1998,144.3015551,369.6808517,178.3299816
